text,type
Die Unterstützung und das Engagement unserer Account-Managerin von unternehmen war vorbildlich.,Gewissenhaft
"schnell, unkompliziert, kompetent und freundlich",Initiativ
"Sehr gute kompetente Beratung und schnelle, bedarfsorientierte Abwicklung",Dominant
"Super Portal, Super Kontakt jederzeit wieder!",Initiativ
"Hervorragend – nur positive Erfahrungen, das Unternehmen ist weiterzuempfehlen.",Initiativ
"Die Zusammenarbeit, die schnelle unkomplizierte Kommunikation und die mustergültige Abwicklung sind 5* wert. 
Vielen Dank für die Unterstützung und bis zum nächsten Projekt.",Initiativ
"unternehmen hat mir wirklich sehr schnell und unbürokratisch weitergeholfen. Vor allem die Erreichbarkeit des Betreuers und die Flexibilität ist stark
Vieeelen herzlichen Dank hervorzuheben. ",Initiativ
"Schnelle und professionelle Hilfe, taggenuae Bearbeitung. Bei nicht einfachen Bedingungen für den Finanzierer werden über den Tellerrand schauende Geldgeber vermittelt.",Gewissenhaft
Unkompliziert und schnell,Dominant
"ich habe mich gut beraten und aufgehoben gefühlt.
Herr nachname hat auch während der Finanzierungsgestaltung mit der Bank, oft sich selbständig nach dem Stand der Dinge erkundigt und stand grundsätzlich in allen Belangen beratend zur Seite.",Stetig
Besten Dank für die gute Abwicklung! Auch beim nächsten Mal werden wir Ihren Service gerne wieder nutzen.,Stetig
"Sehr fachliche Beratung und schnelle, freundliche Bearbeitung",Initiativ
"Ich hätte es nicht geglaubt! Aber 2 Std nach Veröffentlichung der Ausschreibung lag das erste - sehr gute Angebot einer Bank vor.
Innerhalb von einer Woche - und das trotz der Osterfeiertagen - war das Darlehen auf meinem Konto.
Schnelle, unbürokratische Abwicklung
Professionelle Begleitung
Absolut empfehlenswert!",Initiativ
"Guter Kontakt, gute Beratung. Auch wenn wir diesesmal am Ende nicht zusammengekommen sind, kommen wir trotzdem gerne wieder auf Ihren Service zurück.",Stetig
"Als Selbständige ist es nicht so einfach ein Darlehen zu bekommen. Die Finanzexpertin Frau nachname führte zuerst mit mir ein Gespräch, um sich ein Bild meiner Lage zu machen. Nachdem ich dann alle Unterlagen zusammengestellt hatte und zu meiner Finanzexpertin mailte, machte sie sich gleich an die Arbeit und hatte ein positives Ergebnis binnen 24 Stunden. Damit hatte ich nicht gerechnet und bin noch total überrascht und freue mich sehr, über das Ergebnis.
Ich kann nur jedem raten, an seine Träume zu glauben und die richtigen Experten dafür zu finden und die sind bei unternehmen... Herzlichen Dank und bin gespannt, was noch kommt!",Stetig
"Wir haben kurzfristig eine Liquiditätsspritze benötigt innerhalb von rund 2 Wochen hatten wir das Geld auf unserem Konto.

Herr nachname hat uns sehr gut beraten und begleitet.

Wir können Herrn Nitsche sowie unternehmen zu 100 % weiterempfehlen.",Stetig
"Schnelle Abläufe, kompetent",Dominant
"Klasse Abwicklung, unkompliziert und schnell! Die Bankberaterin von unternehmen war super, ich war immer auf dem laufenden und somit konnten Fragen sofort beantwortet und geklärt werden! Ich werde Finanzen zukünftig nur noch über unternehmen abwickeln!",Initiativ
"Schnell, professionell und direkt. Man muß nicht lange warten dann rufen Sie einen zurück. Die Firma unternehmen geht auf einen ein. Vielen Dank an Herr D.....",Initiativ
"unternehmen ist nicht bloß eine kalte FinTech-Plattform, die Daten von links nach rechts verschiebt. unternehmen ist ein Team von echten Profis, die Dinge ermöglichen.",Initiativ
"Es war uns eine Freude , mitzuerleben , dass es in dieser Branche noch Menschen gibt neben Computerzahlen und Annonymität. Vielen Dank ! S. DILLING",Initiativ
"Schnell, kompetent, günstiger Zinssatz, uneingeschränkt empfehlenswert",Dominant
"Persönliche Betreuung, sehr nette Kollegen, schnelle Abwicklung.",Initiativ
"Persoenliche, freundliche und kompetente Betreuung. Sehr professionell und gut organisierte, schnell erfolgreiche Durchfuehrung unserer Ausschreibung. TOP Abwicklung Note 1+",Initiativ
"Herr nachname ist der Mann für das Unmögliche.

Vielen vielen Dank",Initiativ
"Der Berater kam mit einem Produkt auf uns zu, welches zu unseren Geschäftsinhalten gepasst hat und entsprechend auch zum Tragen kam. Kurze und prägnante Absprachen haben den Prozess sehr effizient gemacht und haben zum Erfolg geführt.",Gewissenhaft
"super, hat alles schnell und reibungslos geklappt.
gute Beratung",Initiativ
"Herr vorname nachname hat mich von Beginn der Kontaktaufnahme bis zur Auszahlung der Kreditsumme perfekt beraten und war immer erreichbar.
Sehr empfehlenswert!!",Initiativ
"Antragsprozess lief reibungslos ab, sehr nette und vorbildliche Kommunikation und Unterstützung bei Fragen.
Herr nachname hat uns sehr gut und kompetent betreut.
Reibungslose und seriöse Angebote und schnelle Kreditauszahlung. Selbst nach der Auszahlung steht uns Herr Hoffhaus weiterhin gerne zur Verfügung.
Insgesamt sehr positive Erfahrung, man kann es bedenkenlos weiterempfehlen.",Stetig
"Freundliche und kompetente Mitarbeiter, die Vermittlung hat nur wenige Tage gedauert. Top!",Initiativ
Mein unternehmen Kundenbetreuer hat sich sehr gut mit unserem Geschäftsmodell beschäftigt Und dabei die richtigen Fragen gestellt um unser Unternehmen lukrativ gegenüber Kreditgebern darzustellen sowie mit Zahlen und Fakten zu untermauern. Entsprechend haben wir schnell den idealen Finanzpartner für unser Wachstum gefunden. Vielen lieben Dank für die Unterstützung!,Gewissenhaft
Professionelle und schnelle Abwicklung. Wir konnten einen neuen Bankpartner gefunden und in sehr kurzer Zeit zu unterschriftsreifen Verträgen kommen. Gerne wieder.,Gewissenhaft
"Das war ein tolles Ergebniss.Für den guten Service kann man sich nur Bedanken !
Mit einem Unternehmen wie diesem an der seite macht es wieder Spaß Unternehmer zu sein !! Ich kann nur sagen weiter so !!",Initiativ
"Super Beratung. 
Toller Service und sehr schnell. 
Kann ich nur jedem empfehlen.",Initiativ
"Top Beratung und erfolgreicher Abschluss! Vielen Dank, ich kann Sie jedem jederzeit empfehlen.",Initiativ
"Super Service!

Wir sind mit der Beratung von Herrn nachname sehr zufrieden. Die Gespräche waren stets von Offenheit und Vertrauen geprägt. Jederzeit gerne wieder.",Initiativ
Top-Service. Sehr lösungsorientiert und schnell. Rückfragen an die Finanzierungsgeber wurden schnell und kompetent bearbeitet und im Kundensinne vermittelt. Finanzierungen erfolgten erfolgreich und schnell. Sehr moderne und fast papierlose Abwicklung. Jederzeit gerne wieder.,Gewissenhaft
"die Betreuung durch Herrn nachname war professionell , kompetent und
erfolgreich. Die Begleitung bei der Antragstellung war sehr hilfreich.
in wenigen Tagen war das gewünschte Ergebnis realisiert.",Gewissenhaft
"Kompetent, Lösungsorientiert, Schnell - Gespräche auf Augenhöhe und immer auf dem Laufenden gehalten. Besser geht es nicht.",Initiativ
"Unklompiziert
Schnell",Dominant
"Ich kann leider nur 5 Sterne geben. Herr nachname von unternehmen hat mich trotz erschwerter Bedingungen immer sehr kompetent betreut und letztendlich mir meinen Wunsch näher gebracht. TOP!
",Initiativ
"Vielen Dank für die tolle Unterstützung von unternehmen! Ich bin sehr zufrieden mit der Arbeit und vor allem hatte ich immer das Gefühl, dass man sich echt Zeit nimmt und sich um den Kunden richtig gut kümmert und das mit einem festen Ansprechpartner, der auch immer zu erreich war, oder sich umgehend gemeldet hat. Ich würde jederzeit wieder mit unternehmen arbeiten.
Viele Grüße
Lutz Schumann
Druckerei Schumann",Initiativ
"Nachdem ich zunächst durch einen Mitarbeiter einen ablehnenden Bescheid bekommen habe hat sich ein paar Tage später ein anderer Mitarbeiter bei mir gemeldet und mir mitgeteilt, dass es wohl doch noch eine Möglichkeit gibt für meinen Antrag auf eine Finanzierung.
Es hat nicht lange gedauert und ich bekam ein gutes Angebot welches ich dann auch angenommen habe. Ich kann das Unternehmen unternehmen nur bestens empfehlen was die sehr gute Kompetenz, die Freundlichkeit, die Erreichbarkeit und die schnelle Bearbeitung angeht, absolut weiter empfehlen!
Wenn ich mich da an einem anderen Vermittler erinnere, wo 6.000,00 € zzgl. MwSt. Vermittlungsgebühr von dem beantragten Darlehen fällig werden und sofort bei der Auszahlung abgezogen werden, und das bei einem Zinnssatz von 14,49 %, dann bin ich froh, das es bei unternehmen so reibungslos und Kostengünstig abgewickelt wurde!",Gewissenhaft
"Kurze Bearbeitungszeit und gute Angebote.
Verbindliche Zusagen.",Dominant
Nach einer kleinen Anlaufschwierigkeit (es mussten einige Unterlagen mehr als angenommen zusammengetragen werde) hat die Abwicklung und vor allem die Begleitung durch unternehmen hervorragend auch zwischen den Feiertagen geklappt. Gerne wieder. Danke.,Stetig
Alles bestens,Dominant
Kompetent und hilfsbereit!,Initiativ
"Es war für uns eine der besten Erfahrungen zusammen mit unternehmen eine Finanzierung für unseren Fuhrpark zu finden...
Wir möchten uns an dieser Stelle nochmals bedanken und wir werden sicherlich auf unternehmen zurück kommen. 
Vielen Dank",Initiativ
"Wir sind ein typisches KMU, also ein klein- und mittelständisches Unternehmen, und haben uns an unternehmen gewandt, da wir kurzfristig eine Zwischenfinanzierung benötigten. Bereits nach dem ersten Gespräch mit unserer Hausbank hatte sich nämlich herausgestellt, dass das Vorgehen und die Entscheidungswege nicht mit unseren Anforderungen und Bedürfnissen zu vereinbaren waren. Ganz anders bei unternehmen: Die Mitarbeiter von unternehmen, sowohl im Vertrieb als auch in der Beratung, sind nicht nur engagiert sondern auch äußerst kundenorientiert. Unser Berater hat seine Aktivitäten ganz auf unseren Bedarf ausgerichtet und zielgerichtet in kürzester Zeit passende Finanzierungspartner gefunden. Der gesamte Prozess war digitalisiert und die Abwicklung sehr problemlos. Vor allem hat uns die Geschwindigkeit mehr als positiv überrascht. Während des gesamten Verfahrens wurden wir von unserem Berater begleitet, jede terminliche Zusage wurde eingehalten. unternehmen hat es u.E. tatsächlich geschafft, die oft analogen und zeitaufwendigen Prozesse bei der Unternehmensfinanzierung von klassischen Banken zu digitalisieren. Da unternehmen dabei extrem serviceorientiert agiert, ist für uns auch das Preis-/Leistungsverhältnis absolut in Ordnung. Wir werden unternehmen auch zukünftig bei Finanzierungsfragen berücksichtigen.",Gewissenhaft
"Der Kontakt gefiel mir sehr gut.
Die Bearbeitung war Professionell, die Abwicklung war für mich absolut problemlos. 

Ich habe mich kompetent beraten gefühlt und bei einem zukünftigen bedarf an einer Finanzierung werde ich mich gerne wieder an dieses Portal wenden.",Stetig
"Wir können nur bestätigen, dass die Zusammenarbeit mit der Plattform unternehmen kompetent und zielführend verlaufen ist. Der Berater der unternehmen, Herr vorname nachname hat uns fachgerecht begleitet. Wir haben die gewünschte Finanzierung erhalten und sind mit der GRENKE BANK ist Geschäftsverbindung getreten.
Dabei hat der Prozess zwischen Antragsstellung auf der unternehmen Plattform bis zum Angebot gerade mal 9 Tage gedauert. Schneller geht es sicherlich nicht. Die Plattform unternehmen ist eine hervorragende Alternative zur schnellen Mittelstandsfinanzierung.
Brunhilde Lademann
Geschäftsführung der CUTETECH GmbH",Gewissenhaft
"Guter Support, unkomplizierte Abwicklung. Etwas höherer Zinssatz als bei klassischer Hausbank, dafür schnell und ohne Unmengen von Unterlagen einzureichen. Empfehlenswert.",Dominant
"Hervorrangende, freundliche und sehr kompetente Beratung. Zudem eine sehr gut Betreuung im gesamten Verfahren und stets ein Ansprechpartner an meiner Seite. Kann ich nur weiterempfehlen.",Initiativ
"Also jetzt mal ehrlich, wir kennen alle die old-school Bankenwelt wo alles relativ langsam abläuft. Aber so etwas habe ich noch nie erlebt. In nicht mal 2 Wochen war der Kredit genehmigt - kaum zu glauben. Danke nochmal an den TOP Berater!",Initiativ
"Sehr kompetente, schnelle und zuverlässige Beratung bzw. Unterstützung bei allen Fragen. Gerne wieder.",Stetig
"super Service, schnelle Bearbeitung",Initiativ
"Schnell, unkompilziert, ehrlich.",Initiativ
"unternehmen war mir bei der Suche nach einem alternativen Finanzierer sehr hilfreich. Sehr gefallen hat mir, dass von vorn herein klar ist, dass die Finanzierung nicht eben ein Mausklick entfernt ist. Die Ausschreibung war dennoch recht schnell und konnte, auf meinen Wunsch hin, auch, früher als der regulären Zeitraum, beendet werden.
Ebenfalls gut, dass vom Mitarbeiter direkt angerufen wurde, weil für einen der Ausschreibungsteilnehmern noch Informationen erforderlich waren. Erstaunlich in meinem Fall war, das ich genau von dem Finanzierer das günstigste Angebot erhalten habe, mit dem ich auch über meine Hausbank finanziert hätte, nur zu besseren Konditionen.",Gewissenhaft
alles super gelaufen.,Initiativ
"kompetent, schnell, sehr gute und seriöse Angebote",Dominant
"Top Beratung, zügige Bearbeitung sowie Kreditauszahlung, unkompliziert!!",Dominant
Professionelle Beratung und kundenorientierte Suche nach potenziellen Investoren oder Banken. Kontinuierliche Begleitung bis zum Abschluss.,Gewissenhaft
alles bestens,Dominant
"unternehmen, ist Kompetent, schnell und verbindlich.",Dominant
"Sehr persönliche, schnelle und auf unser Geschäft abgestimmte Beratung.",Initiativ
"Einfache, sichere und schnelle Abwicklung! Alles TOP!",Initiativ
"Vielen Dank für die schnelle und unkomplizeirte Bearbeitung der Finanzierungsanfrage. Mein Kunde war begeistert.
vorname Stolterfoht
Vermögensberater",Initiativ
Meine Finanzierungsanfrage wurde schnell und engagiert bearbeitet. Die unternehmen GmbH kann man durchaus weiterempfehlen.,Gewissenhaft
"Stets freundliche, kompetente und zielgerichtete Beratung und Betreuung seitens des Kundenberaters",Gewissenhaft
"Faire Beratung und gute Betreuung.
Interessante Alternativen, die Wettbewerb aufzeigen",Dominant
Schnell und unkompliziert!,Dominant
"kompetente und schnelle Abwicklung der Anfrage.
top ausgebildete Mitarbeiter. schnelle Entscheidungen.
Kommunikation mit dem Berater ging sehr schnell und reibungslos.",Dominant
Gerne wieder. Sehr schnelle Bearbeitung,Dominant
"Ich kann unternehmen nur empfehlen. 
Schnell, kompetent und nett

Prof. Heinz Schelwat",Initiativ
"Es war ein sehr freundlicher Ansprechpartner
und die Bearbeitung war auch sehr zügig.",Stetig
unternehmen arbeitet auf hohem Niveau und ist ein absolut verlässlicher und kompetenter Partner in Sachen Finanzierung von Unternehmen und Geschäftsvorhaben. Die direkte Zuordnung eines Mitarbeiters bedeutet optimale Betreuung. Ebenfalls ist die Arbeitsweise transparent und verständlich. Ergebnis: eine absolute Top-Note für unternehmen!,Initiativ
"Absolute kurze Reaktionszeit, kompetente Unterstützung, schnelle Entscheidung.",Dominant
"Die Kundenberaterin Frau Laux ist kompetent und schnell, es werden klare und sichere Abläufe vorab besprochen.
unternehmen kann ich jedem Unternehmen ans Herz legen.",Initiativ
"EINFACHE VERBINDUNG KOMPETENTE BERATUNG UND SCHNELLE ABWICKLUNG.
EMPFEHLUNG",Dominant
Guter Service!,Dominant
Sehr schnelle Antwort und kompetente Beratung. Ich bin mit dem Service sehr zufrieden.,Initiativ
"Schnelle kompetente Beratung mit Erfolg!

Mein Ansprechpartner war Hr. vorname nachname, er war schnell und zuverlässig. Zusagen wurden eingehalten. Kommunikation war einwandfrei.
Hr. Prinz konnte die Kennzahlen richtig erkennen.

Nach einer Woche war das gewünschte Darlehen ausgezahlt.
Somit hat es sein Zweck absolut erfüllt.",Dominant
reibungsloser Ablauf,Dominant
Das Gesamtpaket war Spitze und ist sehr zu empfehlen.,Initiativ
"unternehmen ist schnell, kompetent und liefert sehr gute und leicht verwertbare Ergebnisse.",Dominant
"Ich bin sehr zufrieden mit Ihrer Dienstleistung , Herr nachname ist ein absolut kompetenter und zuverlässiger Mitarbeiter .
",Initiativ
Nur beste Erfahrungen!,Initiativ
"Schneller, nette und kompetenter Kontakt. Einfache Abwicklung.",Dominant
"Sehr schnelle, kompetente und unkomplizierte Abwicklung/Beratung.",Dominant
Kompent & Schnell und Effizient!,Dominant
"Die Firma unternehmen und hier insbesondere Herr vorname nachname machen einen sehr kompetenten Eindruck. Schon nach wwenigen Tagen lag das erste annehmbare Angebot vor. Ich bin mehr als zufrieden.
",Stetig
"Hervorragende und sehr schnelle Bearbeitung eines Firmen-Kredites.
Super toller und kompetenter Kontakt zu dem Mitarbeiter.
Positiver Bescheid innerhalb weniger Tage mit Auszahlung des Kreditbetrages noch am selben Tag nach der Genehmigung.
Das mit Abstand beste im Bereich von gewerblichen Finanzierungen, was ich den letzten 20 Jahren Business erlebt habe.
5-Sterne plus Empfehlung.
Peter Mintel",Initiativ
"Eine tolle Beratung führte zur optimalen Finanzierung, die sehr schnell abgewickelt wurde.",Stetig
"Sofortige und schnelle Hilfe 
Immer eine Lösung parat 
Freundliches Personal",Initiativ
"Super Service, freundliche, vertrauensvolle Finanzberater, große Anzahl an Finanzierungspartnern, sehr seriös, normaler Aufwand beim einreichen der benötigten Unterlagen",Stetig
"Der Kontakt kam unkompliziert zustande. Ich bin regelmäßig zurückgerufen worden und ebenso regelmäßig über den derzeitigen Stand des Projektes auf dem Laufenden gehalten worden. Auftretende Fragen wurden sofort und umfassend beantwortet, Probleme auch mit aktiven Vorschlägen aus der Welt geschafft. Einzig der Auswahlprozess, der letztendlich zur Wahl des Investors geführt hat, war nicht komplett transparent.",Gewissenhaft
Gute Kombination von digitaler Abwicklung und persönlicher Betreuung bei Leasinganfragen,Gewissenhaft
"Sehr gute Partnerschaft!!!
Seit Sommer 2018 4 Vorgänge abgewickelt und alles immer rasant schnell. Ein Ansprechpartner der immer erreichbar ist. Bisher nichts zu bemängeln.",Initiativ
Top schnelle kompetente Abwicklung absolute Profis am Werk,Initiativ
"Letztlich toll, dass es funktioniert hat und das Engagement von Herrn nachname ist klasse. Das zurückgezogene Angebot der APO Bank hat uns leider einige Probleme bereitet",Gewissenhaft
"Schnelle und einfache Bearbeitung, gute Beratung",Dominant
"Als Berater ist unternehmen die Super Ergänzung, die Zusammenarbeit ist super, besonders mit Herrn nachname. Vielen Dank",Initiativ
"Sehr korrekte Abwicklung, passt Alles!",Dominant
"Zuverlässiger Partner
Ich habe unternehmen über das Internet gefunden und einen Finanzdienstleister gesucht, der uns die nächsten Jahre begleitet und auch eine schwierige Anfangsphase nicht scheut. Uns wurde professionel geholfen und die Situation wurde realistisch eingeschätzt. Massgeschneiderte Lösungen angeboten. Hat unsere Erwartungen übertroffen, wir sind zufrieden und sehen der weiteren Zusammenarbeit entgegen.
Weiter so",Stetig
"Bei unternehmen ist man von Anfang an gut beraten: Mit Ehrlichkeit, Prägnanz und Sachkenntnis geht der Kundenberater ran und begleitet einem bis zum Schluss der Kreditvergabe. 
Ich kann unternehmen nur weiterempfehlen!",Stetig
Schnell und unkomoliziert,Dominant
"Wir waren mit unternehmen in der Lage einen Unternehmenskredit zu bekommen, vielen Dank für die Zusammenarbeit!",Stetig
"Super kompetent, zuverlässig und schnell.",Dominant
Perfekter Service - super schnelle Abwicklung. Nur zu empfehlen,Initiativ
"Super schnell, sehr kompetent und angenehm in der Zusammenarbeit",Initiativ
Hat mit gut gefallen!,Initiativ
"Bekam leider nur ein Angebot, was nicht zu meiner finanziellen Lage passte...trotzdem Danke für die Bemühungen!",Stetig
"Als kleines Unternehmen (17 Mitarbeiter) haben wir bis dato nur Erfahrungen mit den regionalen Banken gemacht. Trotz positiver Berichterstattung waren wir skeptisch und sind mit einer geringen Erwartungshaltung an unternehmen herangetreten. Abschließend möchten wir sagen, dass die Zusammenarbeit sehr positiv war. Die Kommunikation war einwandfrei und immer bemüht das für uns bestmögliche Ergebnis zu erzielen. Auch über die normalen Geschäftszeiten hinaus war stets jemand ansprechbar und bereit Hilfestellung zu leisten.",Stetig
"Super, tolle Beratung und Service",Initiativ
"Guter Service, gute Erklärungen, Seriöses Angebot!",Dominant
"Vom ersten Moment an, füllte ich mich bei unternehmen sehr gut aufgehoben. Die Vermittlung von Krediten klappte reibungslos. Banken, welche mir in der Vergangenheit keine Kredite zugesagt hatten, genehmigten mir jetzt Kredite. Die Zusammenarbeit war ein voller Erfolg.",Stetig
"In der sehr schnelllebigen veränderbaren Welt der Banken und Berater hat sich unternehmen, und hier insbesondere Herr nachname sehr wohltuend hervorgehoben. Professionell, extrem kompetent und eben auch persönlich sind die Themen angegangen und mit einer ausgesprochenen Schnelligkeit gepaart mit der Fokussierung auf die unternehmerischen Belange abgezielt erfolgreich umgesetzt worden.

Empfehlung? Gar keine Frage, unternehmen ist weiterzuempfehlen.
Und hier auch die besten Wünsche für weitere erfolgreiche Transaktionen.",Initiativ
"Ihr seid ein tolles kompetentes Team, es macht Spass mit euch zusammen zu arbeiten. 

Richtig gute Mitarbeiter, sind welche, ...

die richtig Potenzial haben und Interesse zeigen.
die sich einbringen wollen.
die selbständig mitdenken und Ideengeber sind.
die ein Unternehmen voranbringen (wollen).
die dem Unternehmen und Projekt Persönlichkeit geben.
die der Firma und den Chefs gegenüber Loyal sind

in einigen Gespächen mit Ihnen Frau Di Benedetto, mit Herr Rossa, Herr nachname ( sehr guter angenehmer Mann)und Herr nachname ( der kommt sehr ernst rüber, aber sehr kompetent, ich bin überzeugt, dass der es drauf hat) und nicht zu vergessen Frau nachname ( toller Mensch, sehr engagiert) habe ich getestet wie loyal ihr gegenüber euerer Firma und den Chefs seid, ihr habt alle mit Bestnote bestanden, ihr seid ein tolles Team.
Ich hoffe ich werde die anderen Mitarbeiter auch mal kennen lernen.

Jetzt aber zu den Chefs:

Top-Mitarbeiter verlassen niemals ihren Job, sondern ihren Chef. 

Guten Mitarbeitern sind immer folgendes wichtig und das sollten Führungskräfte immer wissen:

Arbeitsklima
Kollegenfreundschaft
interessante Aufgaben
Entwicklungschancen
gewisse Freiheiten (Homeoffice, Arbeitsbeginn etc.)

und ich glaube ihre Chefs beherschen und beachten dies. Ihr seid alle dann gut aufgehoben. Sie sind auf jeden Fall kompetent, sonst wären sie nicht in der Lage gewesen, so eine tolle Mannschaft zusammen zu schweißen.

Für mein Team ist es wichtig mit einer seriösen Firma zusammen zu arbeiten, deren Mitarbeiter kompetent sind, deshalb arbeiten wir mit ihnen zusammen.

Wir werden noch viele unserer Kunden an sie weiter vermitteln.

Schöne Grüße aus dem Saarland.
Michler",Initiativ
"Ich machte zu meiner Überraschung wirklich gute Erfahrungen, war zu Beginn naturgemäß skeptisch.
Auch wenn es in unserem Fall kein Darlehnsabschluss zustande kam würde ich diese Plattform wieder aufsuchen.",Gewissenhaft
Sehr guter Service realisiert durch meinen persönlichen unternehmen-Berater mittels seines 100%-igen Einsatzes zugunsten einer professionellen Abwicklung mit erfolgreichen Resultat.,Initiativ
Alles Super,Initiativ
"Sehr gute Beratung,
kompetenten und sehr einsatzbereit,
bin sehr zufrieden.",Initiativ
sehr kunden- & serviceorientiert,Dominant
Professionelle Abwicklung und vor allem Lösungsorientiert. Sehr gute Konditionen bekommen. Jederzeit zu empfehlen!,Dominant
"Ausgezeichnete und schnelle Beratung, es wurden maßgeschneiderte Finanzprodukte für uns gefunden!",Dominant
